nombre,descripcion o especificaciones,categoria,marca,stock,sku,alto cm,ancho cm,largo cm,peso g,pero kg,precio,precio oferta,link imagen,clase envio
Micro SD 64GB,ADATA 64GB 80MB/s,Almacenamiento,ADATA,3,,15,10,5,50,"0,05",$ 240.00,$ 200.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/M/E/ME-444372-2_1.jpg,
Micro SD 64GB,BLACKPCS 64GB 80MB/s,Almacenamiento,BLACKPCS,4,,15,10,5,50,"0,05",$ 240.00,$ 180.00,https://images-na.ssl-images-amazon.com/images/I/71LCX7c7boL._AC_SL1500_.jpg,
Micro SD 64GB,Kingston Micro SD 64GB 100Mb/s,Almacenamiento,Kingston,1,,15,10,5,50,"0,05",$ 260.00,$ 240.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/m/e/me-443372-11.jpeg,
Micro SD 128GB,Kingston Micro SD 128GB 100Mb/s,Almacenamiento,Kingston,2,,15,10,5,50,"0,05",$ 450.00,$ 350.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/s/d/sdcs2_128gb.jpg,
USB 16GB,BLACKPCS 16GB USB,Almacenamiento,BLACKPCS,9,,15,10,5,50,"0,05",$ 85.00,$ 70.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/m/e/me-606771-34.jpg,
USB 16GB,ADATA 16GB USB,Almacenamiento,ADATA,6,,15,10,5,50,"0,05",$ 90.00,$ 75.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/m/e/me-6074196-02.jpg,
USB 32GB,Kingston USB 32GB,Almacenamiento,Kingston,8,,15,10,5,50,"0,05",$ 150.00,$ 120.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/M/E/ME-603372-19.jpg,
USB 64GB,Kingston USB 64GB,Almacenamiento,Kingston,6,,15,10,5,50,"0,05",$ 260.00,$ 240.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/M/E/ME-408330-14_1.jpg,
Bocinas GETTTECH USB,Bocinas para PC Getttech,Audio,GETTTECH,2,,20,10,10,300,"0,3",$ 180.00,$ 140.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/A/U/AU-367171-2.jpg,
Kit Mouse/Teclado,Truebasix TB924849,KIT,Truebasix,1,,20,55,5,600,"0,6",$ 200.00,$ 180.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/a/c/ac-446373-1.jpg,
