sku,alto,inventario,id_seccion,id_linea,ancho,skuFabricante,peso_bruto,volumen,precio,upc,marca,serie,seccion,moneda,id_marca,descripcion,id_serie,peso_neto,largo,linea,image_url,precio_final,stock
OPTIMA500,14.2,Array,6855,11493,10.1,"OPTIMA 500",3.55,0.004001418,812.9,7501693301540,VICA,500VA,ENERGIA,MXN,12254,"NO BREAK/UPSVICA 500VA/240W 6 TOMASREGU NEMA5-15R/ RJ11/45(OPTIMA 500)",10668,3.55,27.9,"NO BREAKS",https://drakelfo.local/pch-importer/images/OPTIMA500.jpg,1084.4086,111
V2500,9.5,Array,6855,11512,26,V2500,2,0.002717,446.74,7501693303568,VICA,2.5KVA,ENERGIA,MXN,12254,"REGULADOR ELECT VICA, 2500VA/1500W, 8 CONT NEMA 5-15R/RJ11/RJ45 (V2500",10672,2,11,REGULADORES,https://drakelfo.local/pch-importer/images/V2500.jpg,595.95116,67
OPTIMA750,14.2,Array,6855,11493,10.1,"OPTIM 750",4.2,0.004001418,972.04,7501693301557,VICA,750VA,ENERGIA,MXN,12254,"NO BREAK/UPSVICA 750VA/360W 6 TOMASREGU NEMA5-15R/RJ11/45(OPTIMA 750)",10711,4.2,27.9,"NO BREAKS",https://drakelfo.local/pch-importer/images/OPTIMA750.jpg,1296.70136,74
7501693302936-V,9,Array,6855,11512,8,T1,0.95,0.001152,216.3,7501693302936,VICA,750VA,ENERGIA,MXN,12254,"REGULADOR ELECTRONICO VICA, 750VA/400W, 8 CONTAC NEMA 5-15R (4 /4)(T1)",10711,0.95,16,REGULADORES,https://drakelfo.local/pch-importer/images/7501693302936-V.jpg,288.5442,316
7501693300123-V,8.5,Array,6855,11512,23.5,T-02,1.36,0.001697875,292.39,7501693300123,VICA,1.2KVA,ENERGIA,MXN,12254,"REGULADOR ELECTRONICO VICA, 1200VA/700W 8 CONT NEMA 5-15R/RJ11 (T-02)",10815,1.36,8.5,REGULADORES,https://drakelfo.local/pch-importer/images/7501693300123-V.jpg,390.04826,37
OPTIMA2000,18.2,Array,6855,11493,13,"OPTIMA 2000",11,0.0075712,3648.39,7501693301595,VICA,2KVA,ENERGIA,MXN,12254,"NO BREAK/UPS VICA 2000VA/1200W 8 TOMASREGU PROTEC RJ11/45 (OPTIMA 2000",10669,11,32,"NO BREAKS",https://drakelfo.local/pch-importer/images/OPTIMA2000.jpg,4866.95226,6
STAMINA500,17,Array,6855,11493,9.8,"STAMINA 500",3.3,0.0050813,793.55,7501693300628,VICA,500VA,ENERGIA,MXN,12254,"NO BREAK/UPS VICA 500VA/300W 8 TOMASTIPO NEMA 5-15R (4/4)(STAMINA 500)",10668,3.3,30.5,"NO BREAKS",https://drakelfo.local/pch-importer/images/STAMINA500.jpg,1058.5957,4
7501693300550-V,16.7,Array,6855,11493,90,"S 650",4.8,0.04509,1127.96,7501693300550,VICA,650VA,ENERGIA,MXN,12254,"NO BREAK/UPS VICA 650VA/360W 6 TOMAS NEMA 5-15R REGU Y RESP (S 650)",10714,4.8,30,"NO BREAKS",https://drakelfo.local/pch-importer/images/7501693300550-V.jpg,1504.69864,50
7501693300833-V,10,Array,6855,11493,14,"S 900",4.9,0.00406,1672.04,7501693300833,VICA,900VA,ENERGIA,MXN,12254,"NO BREAK/UPS VICA 900VA/550W 6 TOMASNEMA 5-15RREGU PROTEC RJ11 (S 900)",10709,4.9,29,"NO BREAKS",https://drakelfo.local/pch-importer/images/7501693300833-V.jpg,2230.50136,21
7501693300987-V,21,Array,6855,11493,15,"S 1600",12,0.012285,4024.73,7501693300987,VICA,1.6KVA,ENERGIA,MXN,12254,"NO BREAK/UPS VICA 1600VA/900W 8 TOMAS(4/4) NEMA 5-15R (S 1600)",10812,12,39,"NO BREAKS",https://drakelfo.local/pch-importer/images/7501693300987-V.jpg,5368.98982,2
7501693300383-V,20,Array,6855,11493,15,"S 2200",11.5,0.00879,5082.8,7501693300383,VICA,2.2KVA,ENERGIA,MXN,12254,"NO BREAK/ UPS VICA 2200VA/1200W 8TOMASNEMA 5-15R PROTEC RJ11/45(S 2200",10708,11.5,29.3,"NO BREAKS",https://drakelfo.local/pch-importer/images/7501693300383-V.jpg,6780.4552,1
7501693303544-V,17.5,Array,6855,11512,13.5,R2K,5.5,0.00543375,1009.78,7501693303544,VICA,2.5KVA,ENERGIA,MXN,12254,"REGULADOR AUTOMATICO P/LINEA BLANCA 2500VA/1500W 4CONT NEMA5-15R (R2K)",10672,5.5,23,REGULADORES,https://drakelfo.local/pch-importer/images/7501693303544-V.jpg,1347.04652,15
MPZ-8501-AFBAPV-USD,35,Array,6855,11472,13,MPZ-8501-AFBAPV-USD,3.09,0.0091,134.81,884102044199,"COOLER MASTER",850W,ENERGIA,USD,7021,"FUENTE DE PODER COOLER MASTER V-850W FM 80P PLATINUM MPZ-8501-AFBAPV-U",10508,3.09,20,"FUENTES DE PODER",https://drakelfo.local/pch-importer/images/MPZ-8501-AFBAPV-USD.jpg,3597,1
J4125NHU,25,Array,6810,11524,5,J4125NHU,0.54,0.0024,73.46,802700509070,BIOSTAR,CELERON,COMPONENTES,USD,7083,"TARJETA MADRE BIOSTAR J4125NHU DDR4 HDMI VGA PCIE M.2 QUAD CORE INTEL",10613,0.54,19.2,"TARJETAS MADRE",https://drakelfo.local/pch-importer/images/J4125NHU.jpg,2045,118
