sku,alto,inventario,id_seccion,id_linea,ancho,skuFabricante,peso_bruto,volumen,precio,upc,marca,serie,seccion,moneda,id_marca,descripcion,id_serie,peso_neto,largo,linea,image_url,precio_final,stock
7502266673811-G,15.8,Array,6855,11472,5,PSG650,1.63,,44.36,7502266673811,"GAME FACTOR",GAMER,ENERGIA,USD,12208,"FUENTE DE PODER GAME FACTOR 650WATTS 80 PLUS BRONZE PSG650",10479,1.63,15,"FUENTES DE PODER",https://drakelfo.mx/pch-importer/images/7502266673811-G.jpg,1184,5
7502266671138-V,15.8,Array,6855,11472,9,PSU-101,0.83,,9.58,7502266671138,VORAGO,500W,ENERGIA,USD,7090,"FUENTE DE PODER VORAGO PSU-101 500W (BULK)",10549,0.83,20.2,"FUENTES DE PODER",https://drakelfo.mx/pch-importer/images/7502266671138-V.jpg,256,7
7502266670872-V,0.51,Array,6855,11512,33.5,AVR-100,0.4,,9.43,7502266670872,VORAGO,1KVA,ENERGIA,USD,7090,"REGULADOR VORAGO AVR-100. 1000VA 8 CONTACTOS",10667,0.4,0.45,REGULADORES,https://drakelfo.mx/pch-importer/images/7502266670872-V.jpg,252,1
7502266676966-G,52,Array,6854,11473,21,CSG601,9.2,,92.63,7502266676966,"GAME FACTOR",GAMER,"GABINETES Y ENFRIAMIENTO",USD,12208,"GABINETE GAME FACTOR ATX MICRO ATX PANEL CRIST TEMP VENT RGB CSG601",10479,9.2,50,GABINETES,https://drakelfo.mx/pch-importer/images/7502266676966-G.jpg,2579,1
7502266678847-G,43.5,Array,6854,11473,41.2,CSG300,3,,32.63,7502266678847,"GAME FACTOR",GAMER,"GABINETES Y ENFRIAMIENTO",USD,12208,"GABINETE GAME FACTOR ATX,USB 3.0, 1 VENT 120MM, CRISTAL S/FTE CSG300",10479,3,18,GABINETES,https://drakelfo.mx/pch-importer/images/7502266678847-G.jpg,908,9
7502266675082-G,35,Array,6854,11473,38,CSG500,3.8,,35.26,7502266675082,"GAME FACTOR",GAMER,"GABINETES Y ENFRIAMIENTO",USD,12208,"GABINETE GAME FACTOR ROJO mATX USB 3.0, 2 VENT 120MM S/FTE CSG500-RD",10479,3.8,18.8,GABINETES,https://drakelfo.mx/pch-importer/images/7502266675082-G.jpg,982,1
7502266677987-G,38,Array,6854,11473,41.8,CSG502,2.8,,39.58,7502266677987,"GAME FACTOR",GAMER,"GABINETES Y ENFRIAMIENTO",USD,12208,"GABINETE GAME FACTOR ATX MALLA, USB 3.0, 3VENT 120MM ARGB S/FTE CSG502",10479,2.8,18.5,GABINETES,https://drakelfo.mx/pch-importer/images/7502266677987-G.jpg,1102,3
7502266677796-G,38,Array,6854,11473,18.8,CSG550,3.8,,55.32,7502266677796,"GAME FACTOR",GAMER,"GABINETES Y ENFRIAMIENTO",USD,12208,"GABINETE GAME FACTOR MICRO ATX, 3 VENT 120MM RGB, CRISTAL S/FTE CSG550",10479,3.8,35,GABINETES,https://drakelfo.mx/pch-importer/images/7502266677796-G.jpg,1540,4
7502266679363-G,46.5,Array,6854,11473,46.8,CSG560,5,,67.02,7502266679363,"GAME FACTOR",GAMER,"GABINETES Y ENFRIAMIENTO",USD,12208,"GABINETE GAME FACTOR OPTICAL, ATX, CRISTAL, ARGB, 1*120MM RGB CSG560",10479,5,26.8,GABINETES,https://drakelfo.mx/pch-importer/images/7502266679363-G.jpg,1866,3
7502266677888-G,12,Array,6854,11840,2.5,FKG400,0.35,,24.15,7502266677888,"GAME FACTOR",GAMER,"GABINETES Y ENFRIAMIENTO",USD,12208,"KIT DE 3 x VENTILADORES GAME FACTOR, CONTROLADOR, DOBLE ANILLO FKG400",10479,0.35,12,VENTILADORES,https://drakelfo.mx/pch-importer/images/7502266677888-G.jpg,672,15
